"SEGMENTID","STREET","DIRECTION","FROM_STREET","TO_STREET","LENGTH"," STREET_HEADING"," CURRENT_SPEED"," LAST_UPDATED"
"1284","Chicago","WB","Lake Shore Dr","Michigan","0.37","E","-1","2011-08-10 00:00:00.0"
"951","Washington","WB","Kedzie","Schraeder","0.28","W","-1","2010-07-21 14:51:00.0"
"750","Elston","SE","Milwaukee","Austin","0.33","N","-1","2010-07-21 14:51:10.0"
"1164","Harlem","SB","Ogden","Pershing","0.173022844032","S","-1","2010-07-21 14:51:15.0"
"1122","127th","EB","Western","I-57 Expy","0.907892221885","W","-1","2010-07-21 14:51:06.0"
"682","Dr Martin L King Jr","NB","Bishop Ford Expy","95th","0.58","S","-1","2010-07-21 14:50:44.0"
"794","Hollywood","WB","Lake Shore Dr","Ridge","0.45","W","-1","2010-07-21 14:50:56.0"
"964","Ramp To Kennedy","WB","Orleans","Kennedy Expy","0.57","W","-1","2010-07-21 14:51:01.0"
"701","Dr Martin L King Jr","SB","95th","Bishop Ford Expy","0.58","S","-1","2010-07-21 14:50:45.0"
"432","31st","EB","Dan Ryan Expy","State","0.49","W","-1","2010-07-21 14:50:26.0"
"728","Elston","NW","Pulaski","Kostner","0.71","N","-1","2010-07-21 14:50:46.0"
"748","Elston","SE","Central","Laramie","0.69","N","-1","2010-07-21 14:50:53.0"
"989","Touhy","EB","I-90 Expy","Mannheim","0.98","W","-1","2010-07-21 14:51:07.0"
"462","95th","EB","Baltimore","Ewing","0.6","E","-1","2010-07-21 14:50:47.0"
"434","31st","EB","Dr Martin Luther King Jr Dr","Moe Dr","0.39","E","-1","2010-07-21 14:50:26.0"
"1143","Harlem","NB","47th","41ST","0.777183216869","S","-1","2010-07-21 14:51:14.0"
"991","Touhy","EB","I-294 Expy","Dee Rd","0.66","W","-1","2010-07-21 14:51:07.0"
"436","31st","WB","State","Dan Ryan Expy","0.49","E","-1","2010-07-21 14:50:26.0"
"1139","Harlem","NB","6700 South","63rd","0.261893470976","S","-1","2010-07-21 14:51:13.0"
"1004","Touhy","EB","Rogers","Clark","0.41","W","-1","2010-07-21 14:51:08.0"
"1065","Washington","WB","Kostner","Cicero","0.510504045","W","-1","2010-07-21 14:51:03.0"
"1155","Harlem","SB","79th","87th","1.02154901966","S","-1","2010-07-21 14:51:14.0"
"982","Torrence","SB","126TH PL","130th","0.48","S","-1","2010-07-21 14:51:07.0"
"562","Cicero","NB","83rd","79th","0.5","S","-1","2010-07-21 14:50:37.0"
"983","Torrence","SB","122ND","126TH PL","0.52","S","-1","2010-07-21 14:51:07.0"
"561","Cicero","NB","87th","83rd","0.51","S","-1","2010-07-21 14:50:37.0"
"1020","Touhy","WB","Ridge","Western","0.36","W","-1","2010-07-21 14:50:54.0"
"438","31st","WB","Moe","Dr Martin L King Jr","0.39","E","-1","2010-07-21 14:50:26.0"
"1042","Washington","EB","Kostner","Pulaski","0.5","W","-1","2010-07-21 14:50:55.0"
"668","Cumberland","NB","Irving Park","Montrose","0.51","N","-1","2010-07-21 14:51:11.0"
"1131","Cicero","SB","87th","95th","0.987950842819","S","-1","2010-07-21 14:51:11.0"
"1012","Touhy","WB","Milwaukee","Harlem","0.27","W","-1","2010-07-21 14:50:53.0"
"732","Elston","NW","Central","Austin","0.6","N","-1","2010-07-21 14:50:46.0"
"1069","87th","WB","Cicero","Central","1.01112486187","W","-1","2010-07-21 14:50:32.0"
"1114","87th","WB","Central","Ridgeland","0.994779835109","W","-1","2010-07-21 14:51:05.0"
"613","Lake Shore Dr","SW","Balbo","Roosevelt","0.41","S","-1","2011-08-02 14:21:14.0"
"1019","Touhy","WB","Western","California","0.48","W","-1","2010-07-21 14:50:53.0"
"865","Jefferson","NB","Roosevelt","Harrison","0.49","S","-1","2010-07-21 14:50:58.0"
"733","Elston","NW","Austin","Milwaukee","0.33","N","-1","2010-07-21 14:50:46.0"
"630","Cicero","SB","83rd","87th","0.51","S","-1","2010-07-21 14:51:16.0"
"1093","Cicero","NB","111th","103rd","1.0084869463","S","-1","2010-07-21 14:51:04.0"
"1023","Ramp from EB Congress Pky to Wacker Dr","NW","Congress","Van Buren","0.08","S","-1","2010-07-21 14:50:54.0"
"1275","Madison","EB","Halsted","DesPlaines","0.17","E","-1","2011-08-10 00:00:00.0"
"1168","Harlem","SB","I-290 Expy","Roosevelt","0.590763779967","S","-1","2010-07-21 14:51:12.0"
"749","Elston","SE","Austin","Central","0.6","N","-1","2010-07-21 14:50:53.0"
"1141","Harlem","NB","53RD","I-55 Expy","0.256108230285","S","-1","2010-07-21 14:51:14.0"
"1161","Harlem","SB","47th","I-55 Expy","0.471806000906","S","-1","2010-07-21 14:51:14.0"
"1194","Oakwood","EB","Cottage Grove","Lake Shore Dr","0.35","E","-1","2011-10-27 11:31:24.0"
"952","Washington","WB","Schraeder","Warren","0.07","W","-1","2010-07-21 14:51:00.0"
"723","Elston","NW","Damen","Western","0.7","N","-1","2010-07-21 14:50:46.0"
"1032","Ramp To Wb Congress Pky","SE","Van Buren","Congress","0.08","S","-1","2010-07-21 14:50:54.0"
"1149","Harlem","NB","Roosevelt","I-290 Expy","0.590763779967","S","-1","2010-07-21 14:51:14.0"
"1174","Jackson","EB","Columbus","Lake Shore Dr","0.167479459108","E","-1","2010-07-21 14:51:12.0"
"990","Touhy","EB","Mannheim","I-294 Expy","0.89","W","-1","2010-07-21 14:51:07.0"
"1147","Harlem","NB","26th","Cermak","0.504271882448","S","-1","2010-07-21 14:51:14.0"
"1112","87th","EB","Central","Cicero","1.01112486187","W","-1","2010-07-21 14:51:05.0"
"1006","Touhy","WB","Mannheim","I-90 Expy","0.98","W","-1","2010-07-21 14:51:10.0"
"1094","Roosevelt","EB","Harlem","Ridgeland","1.04519884952","W","-1","2010-07-21 14:51:04.0"
"1128","Cicero","SB","111th","I-294 Expy","1.93642552555","S","-1","2010-07-21 14:50:55.0"
"657","Congress","EB","Michigan","Columbus","0.18","E","-1","2010-07-21 14:51:10.0"
"1130","Cicero","SB","95th","103rd","1.00592669863","S","-1","2010-07-21 14:51:13.0"
"1129","Cicero","SB","103rd","111th","1.0084869463","S","-1","2010-07-21 14:51:13.0"
"1088","127th","WB","Halsted","I-57 Expy","1.09593318122","W","-1","2010-07-21 14:51:04.0"
"671","Cumberland","SB","Montrose","Irving Park","0.51","N","-1","2010-07-21 14:50:44.0"
"1041","Washington","EB","Cicero","Kostner","0.51","W","-1","2010-07-21 14:50:54.0"
"953","Ramp To Eb Ohio St","EB","Kennedy Expy","Orleans","0.63","W","-1","2010-07-21 14:51:00.0"
"1146","Harlem","NB","Ogden","26th","1.33696009685","S","-1","2010-07-21 14:51:14.0"
"675","Ramp To Cermak Rd","NB","26th","Cermak","0.5","S","-1","2010-07-21 14:50:44.0"
"655","Congress","EB","Clark","State","0.15","W","-1","2010-07-21 14:50:43.0"
"1150","Harlem","NB","I-290 Expy","Madison","0.417640777652","S","-1","2010-07-21 14:51:14.0"
"724","Elston","NW","Western","California","0.69","N","-1","2010-07-21 14:50:46.0"
"1137","Harlem","NB","79th","71st","0.998187349343","S","-1","2010-07-21 14:51:13.0"
"1002","Touhy","EB","California","Western","0.48","W","-1","2011-10-28 11:50:50.0"
"1066","Washington","WB","Pulaski","Kostner","0.501846836","W","-1","2010-07-21 14:51:03.0"
"1119","127th","EB","I-294 Expy","Pulaski","0.883600754942","W","-1","2010-07-21 14:51:06.0"
"1087","127th","WB","I-57 Expy","Western","0.907892221885","W","-1","2010-07-21 14:51:11.0"
"1014","Touhy","WB","Lehigh","Caldwell","0.79","W","-1","2012-11-02 13:21:12.0"
"1138","Harlem","NB","71st","6700 South","0.591573841805","S","-1","2010-07-21 14:51:13.0"
"993","Touhy","EB","Northwest Hwy","Oriole","0.68","W","-1","2010-07-21 14:51:07.0"
"164","Ashland","SB","Lawrence","Montrose","0.5","N","-1","2012-11-02 13:40:04.0"
"819","Torrence","NB","126TH PL","122ND","0.52","S","-1","2010-07-21 14:51:09.0"
"1162","Harlem","SB","41ST","47th","0.777183216869","S","-1","2010-07-21 14:51:14.0"
"631","Cicero","SB","79th","83rd","0.5","S","-1","2010-07-21 14:50:42.0"
"658","Congress","WB","Clark","I-294 Expy","0.15","W","-1","2010-07-21 14:50:43.0"
"1095","Roosevelt","EB","Ridgeland","Austin","0.503414826848","W","-1","2010-07-21 14:51:04.0"
"744","Elston","SE","Pulaski","Central Park","0.7","N","-1","2010-07-21 14:50:53.0"
"128","Ashland","NB","Irving Park","Montrose","0.5","N","-1","2010-07-21 14:50:15.0"
"1013","Touhy","WB","Caldwell","Milwaukee","0.64","W","-1","2010-07-21 14:50:53.0"
"973","Pershing","WB","Western","Archer","0.25","W","-1","2010-07-21 14:51:02.0"
"1144","Harlem","NB","41ST","Pershing","0.251006425204","S","-1","2010-07-21 14:51:14.0"
"1085","127th","WB","Kedzie","Pulaski","1.00285924025","W","-1","2010-07-21 14:51:04.0"
"1109","Archer","WB","Harlem","1st Ave","0.431797331368","W","-1","2010-07-21 14:51:05.0"
"1157","Harlem","SB","6700 South","71st","0.591573841805","S","-1","2010-07-21 14:51:14.0"
"1110","87th","EB","Harlem","Ridgeland","0.996672897241","W","-1","2010-07-21 14:51:05.0"
"677","Ramp To SB Dan Ryan Expy","SB","Cermak","26th","0.5","S","-1","2011-08-02 14:20:57.0"
"1067","Washington","WB","Central Park","Pulaski","0.511603281","W","-1","2010-07-21 14:51:02.0"
"461","95th","EB","Torrence","Baltimore","0.59","E","-1","2010-07-21 14:50:47.0"
"836","Harlem","SB","53RD","Archer","0.26","S","-1","2010-07-21 14:50:58.0"
"981","Torrence","NB","99th","95th","0.49","S","-1","2010-07-21 14:51:07.0"
